network;nb_emails_classes;estimation_1_motif;estimation_1_cle;estimation_1_proba_pct;estimation_2_motif;estimation_2_cle;estimation_2_proba_pct;estimation_3_motif;estimation_3_cle;estimation_3_proba_pct;domaine_1;domaine_1_proba_pct;domaine_2;domaine_2_proba_pct;domaine_3;domaine_3_proba_pct
Lilihome;6;autre (alias, perso, faute, …);autre;50.0;prénom+nom collés (sans . ni _);prenom_nom_concat;50.0;;;0.0;carmen-immobilier.com;50.0;gmail.com;50.0;;
Ma maison idéale;6;autre (alias, perso, faute, …);autre;100.0;;;0.0;;;0.0;mamaisonideale.immo;83.3;lamaisonideale.immo;16.7;;
Naos Immobilier;6;prénom.nom;prenom_point_nom;100.0;;;0.0;;;0.0;naosimmobilier.com;50.0;gmail.com;50.0;;
Pietrapolis;6;autre (alias, perso, faute, …);autre;50.0;prénom.nom;prenom_point_nom;50.0;;;0.0;pietrapolis.fr;50.0;gmail.com;50.0;;
Solid Immo;6;prénom+nom collés (sans . ni _);prenom_nom_concat;50.0;prénom.nom;prenom_point_nom;33.3;autre (alias, perso, faute, …);autre;16.7;solid-immo.com;100.0;;;;
Homki;4;prénom.nom;prenom_point_nom;75.0;contact@ / info@ / …;adresse_generique;25.0;;;0.0;homki-immobilier.com;75.0;gmail.com;25.0;;
A la lucarne;3;autre (alias, perso, faute, …);autre;100.0;;;0.0;;;0.0;gmail.com;100.0;;;;
AGI92;3;autre (alias, perso, faute, …);autre;100.0;;;0.0;;;0.0;outlook.fr;100.0;;;;
AV Transactions;3;prénom seul;prenom_seul;100.0;;;0.0;;;0.0;prestigeimmobilier.net;100.0;;;;
Advicim;3;prénom.nom;prenom_point_nom;100.0;;;0.0;;;0.0;advicim.com;100.0;;;;
Allowa;3;prénom+nom collés (sans . ni _);prenom_nom_concat;100.0;;;0.0;;;0.0;gmail.com;100.0;;;;
Carmen;3;autre (alias, perso, faute, …);autre;100.0;;;0.0;;;0.0;yahoo.fr;100.0;;;;
Cif-immo;3;autre (alias, perso, faute, …);autre;100.0;;;0.0;;;0.0;cif-immo.com;100.0;;;;
Domini;3;initiale + nom;initiale_plus_nom;100.0;;;0.0;;;0.0;gmail.com;100.0;;;;
Ethikkimmo;3;prénom.nom;prenom_point_nom;100.0;;;0.0;;;0.0;ethikk-immo.fr;100.0;;;;
HT&Vendre.com;3;autre (alias, perso, faute, …);autre;100.0;;;0.0;;;0.0;htetvendre.com;100.0;;;;
Imkiz;3;autre (alias, perso, faute, …);autre;100.0;;;0.0;;;0.0;imkiz.com;100.0;;;;
Immo de France;3;prénom seul;prenom_seul;100.0;;;0.0;;;0.0;jcgimmo.com;100.0;;;;
L'Adresse;3;prénom.nom;prenom_point_nom;100.0;;;0.0;;;0.0;ladresse.com;100.0;;;;
L'Art 2 Vendre;3;autre (alias, perso, faute, …);autre;100.0;;;0.0;;;0.0;lart2vendreimmobilier.com;100.0;;;;
L'immobilier Humain;3;autre (alias, perso, faute, …);autre;100.0;;;0.0;;;0.0;limmobilierhumain.com;100.0;;;;
Les professionnels de l'immobilier;3;autre (alias, perso, faute, …);autre;100.0;;;0.0;;;0.0;les-professionnels.immo;100.0;;;;
Lifehome;3;autre (alias, perso, faute, …);autre;100.0;;;0.0;;;0.0;gmail.com;100.0;;;;
Meilleur Conseil;3;prénom.nom;prenom_point_nom;100.0;;;0.0;;;0.0;live.fr;100.0;;;;
Notia Immobilier;3;contact@ / info@ / …;adresse_generique;100.0;;;0.0;;;0.0;notiaimmobilier.fr;100.0;;;;
Ozéo Immo;3;prénom.nom;prenom_point_nom;100.0;;;0.0;;;0.0;live.fr;100.0;;;;
Provimo;3;prénom.nom;prenom_point_nom;100.0;;;0.0;;;0.0;provimo.fr;100.0;;;;
Smart Proprio;3;prénom.nom;prenom_point_nom;100.0;;;0.0;;;0.0;smartproprio.com;100.0;;;;
Sweven Immo;3;autre (alias, perso, faute, …);autre;100.0;;;0.0;;;0.0;sweven-immo.fr;100.0;;;;
We Loge;3;autre (alias, perso, faute, …);autre;100.0;;;0.0;;;0.0;gmail.com;100.0;;;;
